index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_0,5,D,TTPl_0,C,0
1,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_1,5,D,TTPl_2,C,0
2,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_2,1,D,RPl_12,D,1
3,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_3,5,D,GPl_18,C,0
4,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_4,5,D,TTPl_1,C,0
5,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_5,5,D,RPl_13,C,0
6,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_6,1,D,RPl_10,D,1
7,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_7,5,D,GPl_5,C,0
8,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_8,5,D,RPl_2,C,0
9,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_9,5,D,GPl_9,C,0
10,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_10,5,D,RPl_7,C,0
11,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_11,5,D,RPl_15,C,0
12,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_12,5,D,GPl_6,C,0
13,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_13,5,D,GPl_13,C,0
14,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_14,5,D,RPl_5,C,0
15,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_15,5,D,TTPl_10,C,0
16,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_16,5,D,RPl_11,C,0
17,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_17,5,D,TTPl_17,C,0
18,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_18,5,D,GPl_12,C,0
19,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,BPl_19,5,D,RPl_17,C,0
20,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_0,5,D,GPl_9,C,0
21,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_1,5,D,GPl_8,C,0
22,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_2,5,D,TTPl_2,C,0
23,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_3,5,D,TTPl_12,C,0
24,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_4,5,D,RPl_12,C,0
25,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_5,5,D,TTPl_3,C,0
26,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_6,5,D,GPl_3,C,0
27,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_7,5,D,TTPl_8,C,0
28,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_8,1,D,RPl_0,D,1
29,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_9,1,D,BPl_14,D,1
30,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_10,5,D,TTPl_9,C,0
31,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_11,5,D,GPl_7,C,0
32,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_12,5,D,RPl_18,C,0
33,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_13,5,D,RPl_17,C,0
34,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_14,1,D,BPl_9,D,1
35,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_15,5,D,GPl_16,C,0
36,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_16,5,D,RPl_19,C,0
37,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_17,5,D,TTPl_0,C,0
38,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_18,1,D,RPl_15,D,1
39,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,BPl_19,5,D,TTPl_4,C,0
40,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_0,5,D,GPl_10,C,0
41,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_1,1,D,RPl_3,D,1
42,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_2,5,D,RPl_4,C,0
43,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_3,5,D,GPl_1,C,0
44,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_4,1,D,BPl_18,D,1
45,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_5,5,D,RPl_15,C,0
46,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_6,1,D,RPl_10,D,1
47,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_7,1,D,BPl_14,D,1
48,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_8,5,D,TTPl_10,C,0
49,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_9,1,D,RPl_0,D,1
50,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_10,5,D,RPl_12,C,0
51,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_11,5,D,GPl_8,C,0
52,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_12,5,D,TTPl_13,C,0
53,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_13,5,D,TTPl_11,C,0
54,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_14,1,D,BPl_7,D,1
55,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_15,5,D,TTPl_17,C,0
56,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_16,5,D,GPl_4,C,0
57,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_17,1,D,TTPl_8,D,1
58,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_18,1,D,BPl_4,D,1
59,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,BPl_19,5,D,TTPl_16,C,0
60,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_0,1,D,BPl_17,D,1
61,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_1,1,D,BPl_12,D,1
62,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_2,5,D,GPl_4,C,0
63,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_3,5,D,TTPl_14,C,0
64,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_4,5,D,RPl_6,C,0
65,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_5,5,D,TTPl_1,C,0
66,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_6,1,D,BPl_18,D,1
67,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_7,5,D,GPl_9,C,0
68,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_8,5,D,GPl_7,C,0
69,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_9,1,D,TTPl_17,D,1
70,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_10,1,D,TTPl_12,D,1
71,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_11,5,D,GPl_0,C,0
72,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_12,1,D,BPl_1,D,1
73,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_13,5,D,GPl_3,C,0
74,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_14,5,D,GPl_19,C,0
75,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_15,1,D,RPl_0,D,1
76,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_16,5,D,TTPl_9,C,0
77,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_17,1,D,BPl_0,D,1
78,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_18,1,D,BPl_6,D,1
79,ipd,ipd,Scenario1,0,3,2021-09-24T00:42,BPl_19,5,D,RPl_17,C,0
80,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_0,1,D,BPl_4,D,1
81,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_1,1,D,TTPl_12,D,1
82,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_2,5,D,TTPl_11,C,0
83,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_3,1,D,RPl_17,D,1
84,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_4,1,D,BPl_0,D,1
85,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_5,1,D,RPl_5,D,1
86,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_6,5,D,TTPl_7,C,0
87,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_7,5,D,GPl_11,C,0
88,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_8,1,D,RPl_1,D,1
89,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_9,5,D,TTPl_3,C,0
90,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_10,5,D,TTPl_2,C,0
91,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_11,5,D,RPl_4,C,0
92,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_12,5,D,TTPl_0,C,0
93,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_13,1,D,BPl_18,D,1
94,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_14,5,D,GPl_5,C,0
95,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_15,5,D,TTPl_15,C,0
96,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_16,5,D,RPl_13,C,0
97,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_17,1,D,TTPl_9,D,1
98,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_18,1,D,BPl_13,D,1
99,ipd,ipd,Scenario1,0,4,2021-09-24T00:42,BPl_19,1,D,TTPl_17,D,1
100,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_0,5,D,GPl_3,C,0
101,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_1,1,D,BPl_19,D,1
102,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_2,5,D,RPl_16,C,0
103,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_3,5,D,GPl_19,C,0
104,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_4,5,D,TTPl_8,C,0
105,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_5,1,D,BPl_6,D,1
106,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_6,1,D,BPl_5,D,1
107,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_7,1,D,RPl_12,D,1
108,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_8,1,D,BPl_15,D,1
109,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_9,5,D,GPl_2,C,0
110,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_10,5,D,RPl_6,C,0
111,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_11,5,D,GPl_16,C,0
112,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_12,5,D,GPl_6,C,0
113,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_13,5,D,GPl_13,C,0
114,ipd,ipd,Scenario1,0,5,2021-09-24T00:42,BPl_14,1,D,TTPl_7,D,1
