index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_0,3,C,GPl_8,C,3
1,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_1,3,C,GPl_11,C,3
2,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_2,0,C,BPl_3,D,5
3,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_3,5,D,GPl_19,C,0
4,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_4,3,C,TTPl_19,C,3
5,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_5,5,D,TTPl_12,C,0
6,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_6,5,D,GPl_4,C,0
7,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_7,5,D,TTPl_16,C,0
8,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_8,1,D,BPl_1,D,1
9,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_9,5,D,GPl_0,C,0
10,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_10,3,C,GPl_13,C,3
11,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_11,3,C,TTPl_15,C,3
12,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_12,5,D,TTPl_2,C,0
13,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_13,5,D,TTPl_18,C,0
14,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_14,5,D,TTPl_13,C,0
15,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_15,3,C,GPl_17,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_16,5,D,TTPl_8,C,0
17,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_17,0,C,BPl_18,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_18,3,C,TTPl_3,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,RPl_19,3,C,GPl_12,C,3
20,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_0,3,C,GPl_17,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_1,0,C,BPl_6,D,5
22,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_2,3,C,GPl_2,C,3
23,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_3,0,C,BPl_1,D,5
24,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_4,3,C,TTPl_4,C,3
25,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_5,5,D,RPl_10,C,0
26,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_6,1,D,BPl_5,D,1
27,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_7,1,D,BPl_8,D,1
28,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_8,3,C,GPl_3,C,3
29,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_9,5,D,TTPl_8,C,0
30,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_10,0,C,RPl_5,D,5
31,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_11,1,D,BPl_18,D,1
32,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_12,1,D,RPl_19,D,1
33,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,RPl_13,3,C,GPl_18,C,3
