index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_0,1,D,BPl_11,D,1
1,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_1,1,D,BPl_10,D,1
2,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_2,3,C,RPl_3,C,3
3,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_3,3,C,RPl_2,C,3
4,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_4,0,C,BPl_12,D,5
5,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_5,0,C,BPl_1,D,5
6,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_6,3,C,TTPl_0,C,3
7,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_7,3,C,GPl_5,C,3
8,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_8,0,C,BPl_17,D,5
9,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_9,1,D,BPl_7,D,1
10,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_10,1,D,BPl_16,D,1
11,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_11,1,D,RPl_17,D,1
12,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_12,0,C,BPl_9,D,5
13,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_13,5,D,GPl_11,C,0
14,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_14,5,D,TTPl_1,C,0
15,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_15,5,D,GPl_2,C,0
16,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_16,5,D,TTPl_7,C,0
17,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_17,1,D,RPl_11,D,1
18,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_18,5,D,TTPl_11,C,0
19,ipd,ipd,Scenario1,0,0,2021-10-04T16:36,RPl_19,5,D,GPl_13,C,0
