index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_0,5,D,TTPl_13,C,0
1,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_1,3,C,GPl_16,C,3
2,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_2,0,C,BPl_8,D,5
3,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_3,3,C,TTPl_18,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_4,3,C,GPl_14,C,3
5,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_5,0,C,BPl_14,D,5
6,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_6,5,D,TTPl_11,C,0
7,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_7,0,C,BPl_10,D,5
8,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_8,1,D,RPl_16,D,1
9,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_9,5,D,TTPl_5,C,0
10,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_10,1,D,BPl_6,D,1
11,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_11,0,C,BPl_16,D,5
12,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_12,1,D,BPl_2,D,1
13,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_13,0,C,BPl_5,D,5
14,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_14,3,C,GPl_17,C,3
15,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_15,0,C,BPl_11,D,5
16,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_16,1,D,RPl_8,D,1
17,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_17,0,C,BPl_19,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_18,3,C,TTPl_16,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,RPl_19,5,D,TTPl_4,C,0
20,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_0,1,D,BPl_8,D,1
21,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_1,5,D,GPl_2,C,0
22,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_2,5,D,RPl_8,C,0
23,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_3,5,D,TTPl_18,C,0
24,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_4,5,D,GPl_6,C,0
25,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_5,5,D,GPl_18,C,0
26,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,RPl_6,5,D,GPl_11,C,0
