index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_0,0,C,BPl_17,D,5
1,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_1,0,C,BPl_19,D,5
2,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_2,3,C,GPl_15,C,3
3,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_3,0,C,BPl_2,D,5
4,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_4,3,C,GPl_4,C,3
5,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_5,0,C,BPl_1,D,5
6,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_6,3,C,RPl_15,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_7,0,C,BPl_3,D,5
8,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_8,0,C,BPl_13,D,5
9,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_9,3,C,GPl_14,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_10,3,C,GPl_19,C,3
11,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_11,3,C,GPl_11,C,3
12,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_12,0,C,RPl_1,D,5
13,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_13,3,C,GPl_12,C,3
14,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_14,3,C,RPl_4,C,3
15,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_15,3,C,TTPl_16,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_16,3,C,TTPl_15,C,3
17,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_17,0,C,BPl_15,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_18,3,C,GPl_3,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-23T20:16,TTPl_19,3,C,RPl_0,C,3
20,ipd,ipd,Scenario1,0,1,2021-09-23T20:16,TTPl_0,3,C,TTPl_10,C,3
