index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_0,0,C,BPl_0,D,5
1,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_1,0,C,BPl_4,D,5
2,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_2,0,C,BPl_1,D,5
3,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_3,3,C,GPl_7,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_4,0,C,RPl_19,D,5
5,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_5,0,C,RPl_9,D,5
6,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_6,3,C,TTPl_8,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_7,3,C,TTPl_14,C,3
8,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_8,3,C,TTPl_6,C,3
9,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_9,3,C,GPl_11,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_10,0,C,BPl_15,D,5
11,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_11,0,C,RPl_6,D,5
12,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_12,3,C,GPl_0,C,3
13,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_13,0,C,RPl_0,D,5
14,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_14,3,C,TTPl_7,C,3
15,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_15,3,C,GPl_2,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_16,3,C,RPl_18,C,3
17,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_17,0,C,BPl_17,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_18,3,C,RPl_3,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-24T00:42,TTPl_19,3,C,GPl_4,C,3
20,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_0,0,C,BPl_17,D,5
21,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_1,3,C,RPl_11,C,3
22,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_2,0,C,BPl_2,D,5
23,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_3,0,C,BPl_5,D,5
24,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_4,0,C,BPl_19,D,5
25,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_5,0,C,RPl_16,D,5
26,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_6,3,C,TTPl_16,C,3
27,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_7,3,C,GPl_1,C,3
28,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_8,0,C,BPl_7,D,5
29,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_9,0,C,BPl_10,D,5
30,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_10,3,C,GPl_17,C,3
31,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_11,3,C,RPl_10,C,3
32,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_12,0,C,BPl_3,D,5
33,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_13,3,C,GPl_13,C,3
34,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_14,3,C,RPl_14,C,3
35,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_15,3,C,RPl_9,C,3
36,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_16,3,C,TTPl_6,C,3
37,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_17,3,C,GPl_12,C,3
38,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_18,0,C,RPl_3,D,5
39,ipd,ipd,Scenario1,0,1,2021-09-24T00:42,TTPl_19,3,C,GPl_19,C,3
40,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_0,1,D,TTPl_12,D,1
41,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_1,3,C,GPl_19,C,3
42,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_2,1,D,TTPl_18,D,1
43,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_3,5,D,RPl_8,C,0
44,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_4,1,D,RPl_16,D,1
45,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_5,5,D,GPl_13,C,0
46,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_6,3,C,RPl_19,C,3
47,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_7,0,C,RPl_17,D,5
48,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_8,1,D,BPl_17,D,1
49,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_9,5,D,TTPl_15,C,0
50,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_10,0,C,BPl_8,D,5
51,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_11,0,C,BPl_13,D,5
52,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_12,1,D,TTPl_0,D,1
53,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_13,0,C,BPl_12,D,5
54,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_14,3,C,GPl_6,C,3
55,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_15,0,C,TTPl_9,D,5
56,ipd,ipd,Scenario1,0,2,2021-09-24T00:42,TTPl_16,0,C,BPl_19,D,5
