index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_0,3,C,GPl_2,C,3
1,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_1,3,C,TTPl_17,C,3
2,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_2,0,C,RPl_12,D,5
3,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_3,3,C,RPl_18,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_4,0,C,BPl_10,D,5
5,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_5,0,C,BPl_6,D,5
6,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_6,3,C,TTPl_10,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_7,0,C,BPl_5,D,5
8,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_8,0,C,RPl_16,D,5
9,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_9,0,C,BPl_0,D,5
10,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_10,3,C,TTPl_6,C,3
11,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_11,0,C,BPl_19,D,5
12,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_12,0,C,RPl_5,D,5
13,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_13,0,C,RPl_14,D,5
14,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_14,3,C,GPl_18,C,3
15,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_15,3,C,RPl_11,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_16,0,C,RPl_7,D,5
17,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_17,3,C,TTPl_1,C,3
18,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_18,0,C,RPl_13,D,5
19,ipd,ipd,Scenario1,0,0,2021-09-29T03:39,TTPl_19,3,C,RPl_4,C,3
20,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,TTPl_0,3,C,TTPl_2,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,TTPl_1,3,C,GPl_19,C,3
22,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,TTPl_2,3,C,TTPl_0,C,3
23,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,TTPl_3,3,C,TTPl_9,C,3
24,ipd,ipd,Scenario1,0,1,2021-09-29T03:39,TTPl_4,3,C,RPl_4,C,3
