index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_0,3,C,TTPl_18,C,3
1,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_1,3,C,TTPl_3,C,3
2,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_2,3,C,GPl_9,C,3
3,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_3,3,C,TTPl_1,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_4,0,C,RPl_1,D,5
5,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_5,3,C,TTPl_9,C,3
6,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_6,0,C,BPl_14,D,5
7,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_7,0,C,BPl_1,D,5
8,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_8,0,C,BPl_4,D,5
9,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_9,3,C,TTPl_5,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_10,3,C,GPl_3,C,3
11,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_11,0,C,BPl_0,D,5
12,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_12,0,C,RPl_9,D,5
13,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_13,3,C,RPl_15,C,3
14,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_14,0,C,BPl_18,D,5
15,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_15,0,C,BPl_10,D,5
16,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_16,0,C,BPl_11,D,5
17,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_17,3,C,GPl_13,C,3
18,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_18,3,C,TTPl_0,C,3
19,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,TTPl_19,0,C,BPl_13,D,5
20,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_0,3,C,TTPl_12,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_1,3,C,TTPl_16,C,3
22,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_2,0,C,RPl_18,D,5
23,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_3,3,C,GPl_5,C,3
24,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_4,0,C,BPl_14,D,5
25,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_5,3,C,RPl_10,C,3
26,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_6,0,C,RPl_12,D,5
27,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_7,0,C,BPl_10,D,5
28,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_8,0,C,BPl_15,D,5
29,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_9,3,C,GPl_18,C,3
30,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_10,3,C,GPl_15,C,3
31,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_11,3,C,GPl_0,C,3
32,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_12,3,C,TTPl_0,C,3
33,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_13,0,C,BPl_3,D,5
34,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_14,3,C,GPl_1,C,3
35,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,TTPl_15,0,C,BPl_5,D,5
