index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_0,5,D,GPl_14,C,0
1,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_1,5,D,TTPl_4,C,0
2,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_2,3,C,GPl_12,C,3
3,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_3,5,D,RPl_17,C,0
4,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_4,5,D,GPl_5,C,0
5,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_5,3,C,GPl_6,C,3
6,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_6,3,C,GPl_10,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_7,3,C,GPl_19,C,3
8,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_8,5,D,RPl_11,C,0
9,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_9,5,D,TTPl_12,C,0
10,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_10,0,C,BPl_19,D,5
11,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_11,0,C,RPl_8,D,5
12,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_12,1,D,BPl_15,D,1
13,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_13,0,C,BPl_17,D,5
14,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_14,1,D,BPl_6,D,1
15,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_15,3,C,TTPl_13,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_16,3,C,GPl_1,C,3
17,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_17,0,C,RPl_3,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_18,1,D,BPl_7,D,1
19,ipd,ipd,Scenario1,0,0,2021-09-24T01:05,RPl_19,5,D,GPl_4,C,0
20,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_0,5,D,RPl_13,C,0
21,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_1,0,C,BPl_16,D,5
22,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_2,0,C,RPl_15,D,5
23,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_3,1,D,RPl_5,D,1
24,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_4,1,D,BPl_1,D,1
25,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_5,1,D,RPl_3,D,1
26,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_6,1,D,RPl_7,D,1
27,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_7,1,D,RPl_6,D,1
28,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_8,0,C,RPl_9,D,5
29,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_9,5,D,RPl_8,C,0
30,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_10,3,C,TTPl_5,C,3
31,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_11,3,C,RPl_16,C,3
32,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_12,5,D,TTPl_6,C,0
33,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_13,0,C,RPl_0,D,5
34,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_14,1,D,BPl_0,D,1
35,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_15,5,D,RPl_2,C,0
36,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_16,3,C,RPl_11,C,3
37,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_17,3,C,GPl_17,C,3
38,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_18,5,D,TTPl_2,C,0
39,ipd,ipd,Scenario1,0,1,2021-09-24T01:05,RPl_19,0,C,BPl_2,D,5
40,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_0,1,D,BPl_0,D,1
41,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_1,0,C,BPl_15,D,5
42,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_2,5,D,RPl_11,C,0
43,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_3,5,D,GPl_11,C,0
44,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_4,3,C,TTPl_9,C,3
45,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_5,5,D,GPl_13,C,0
46,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_6,0,C,BPl_8,D,5
47,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_7,0,C,RPl_15,D,5
48,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_8,3,C,GPl_17,C,3
49,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_9,0,C,BPl_4,D,5
50,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_10,0,C,BPl_3,D,5
51,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_11,0,C,RPl_2,D,5
52,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_12,1,D,RPl_16,D,1
53,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_13,0,C,BPl_1,D,5
54,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_14,1,D,BPl_18,D,1
55,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_15,5,D,RPl_7,C,0
56,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_16,1,D,RPl_12,D,1
57,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_17,1,D,TTPl_13,D,1
58,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_18,3,C,TTPl_14,C,3
59,ipd,ipd,Scenario1,0,2,2021-09-24T01:05,RPl_19,5,D,GPl_14,C,0
60,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_0,0,C,BPl_6,D,5
61,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_1,1,D,RPl_17,D,1
62,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_2,3,C,GPl_18,C,3
63,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_3,5,D,TTPl_10,C,0
64,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_4,5,D,GPl_16,C,0
65,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_5,5,D,GPl_10,C,0
66,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_6,5,D,GPl_1,C,0
67,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_7,3,C,TTPl_9,C,3
68,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_8,1,D,TTPl_3,D,1
69,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_9,0,C,BPl_3,D,5
70,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_10,0,C,TTPl_18,D,5
71,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_11,5,D,TTPl_5,C,0
72,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_12,1,D,BPl_17,D,1
73,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_13,3,C,GPl_3,C,3
74,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_14,3,C,TTPl_15,C,3
75,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_15,1,D,RPl_16,D,1
76,ipd,ipd,Scenario1,0,3,2021-09-24T01:05,RPl_16,1,D,RPl_15,D,1
