index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_0,5,D,TTPl_18,C,0
1,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_1,3,C,RPl_7,C,3
2,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_2,3,C,GPl_11,C,3
3,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_3,0,C,BPl_8,D,5
4,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_4,1,D,BPl_14,D,1
5,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_5,0,C,BPl_16,D,5
6,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_6,3,C,TTPl_19,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_7,3,C,RPl_1,C,3
8,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_8,0,C,BPl_2,D,5
9,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_9,0,C,BPl_13,D,5
10,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_10,0,C,RPl_19,D,5
11,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_11,5,D,RPl_16,C,0
12,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_12,5,D,TTPl_16,C,0
13,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_13,5,D,GPl_9,C,0
14,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_14,1,D,RPl_18,D,1
15,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_15,3,C,TTPl_5,C,3
16,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_16,0,C,RPl_11,D,5
17,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_17,3,C,TTPl_3,C,3
18,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_18,1,D,RPl_14,D,1
19,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,RPl_19,5,D,RPl_10,C,0
20,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_0,3,C,TTPl_10,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_1,5,D,RPl_2,C,0
22,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_2,0,C,RPl_1,D,5
23,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_3,3,C,GPl_10,C,3
24,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_4,3,C,TTPl_7,C,3
25,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_5,5,D,TTPl_14,C,0
26,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_6,3,C,GPl_8,C,3
27,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_7,3,C,RPl_9,C,3
28,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_8,5,D,GPl_3,C,0
29,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_9,3,C,RPl_7,C,3
30,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_10,5,D,GPl_1,C,0
31,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_11,3,C,GPl_5,C,3
32,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_12,3,C,GPl_0,C,3
33,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_13,5,D,GPl_13,C,0
34,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_14,3,C,TTPl_16,C,3
35,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_15,3,C,GPl_18,C,3
36,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_16,5,D,TTPl_4,C,0
37,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_17,5,D,GPl_16,C,0
38,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_18,1,D,BPl_13,D,1
39,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,RPl_19,1,D,BPl_4,D,1
40,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_0,3,C,GPl_3,C,3
41,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_1,1,D,BPl_6,D,1
42,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_2,3,C,GPl_5,C,3
43,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_3,0,C,BPl_4,D,5
44,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_4,1,D,BPl_7,D,1
45,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_5,3,C,RPl_17,C,3
46,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_6,3,C,TTPl_6,C,3
47,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_7,5,D,GPl_16,C,0
48,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_8,5,D,TTPl_2,C,0
49,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_9,3,C,GPl_6,C,3
50,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_10,5,D,TTPl_17,C,0
51,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_11,5,D,GPl_0,C,0
52,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_12,3,C,GPl_12,C,3
53,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_13,3,C,TTPl_1,C,3
54,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_14,1,D,BPl_11,D,1
55,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_15,3,C,GPl_19,C,3
56,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_16,0,C,TTPl_18,D,5
57,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_17,3,C,RPl_5,C,3
58,ipd,ipd,Scenario1,0,2,2021-09-28T01:25,RPl_18,3,C,GPl_11,C,3
