index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_0,0,C,RPl_12,D,5
1,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_1,1,D,BPl_5,D,1
2,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_2,1,D,BPl_17,D,1
3,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_3,3,C,GPl_10,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_4,5,D,RPl_15,C,0
5,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_5,5,D,GPl_2,C,0
6,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_6,3,C,GPl_12,C,3
7,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_7,1,D,RPl_18,D,1
8,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_8,3,C,GPl_3,C,3
9,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_9,3,C,TTPl_3,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_10,0,C,BPl_14,D,5
11,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_11,5,D,TTPl_18,C,0
12,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_12,5,D,RPl_0,C,0
13,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_13,1,D,BPl_1,D,1
14,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_14,5,D,GPl_5,C,0
15,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_15,0,C,RPl_4,D,5
16,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_16,5,D,GPl_8,C,0
17,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_17,5,D,TTPl_16,C,0
18,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_18,1,D,RPl_7,D,1
19,ipd,ipd,Scenario1,0,0,2021-09-28T00:39,RPl_19,5,D,TTPl_12,C,0
20,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_0,3,C,GPl_18,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_1,3,C,GPl_15,C,3
22,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_2,5,D,TTPl_7,C,0
23,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_3,5,D,GPl_4,C,0
24,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_4,5,D,RPl_5,C,0
25,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_5,0,C,RPl_4,D,5
26,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_6,5,D,TTPl_14,C,0
27,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_7,1,D,BPl_5,D,1
28,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_8,1,D,RPl_16,D,1
29,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_9,0,C,RPl_18,D,5
30,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_10,1,D,BPl_12,D,1
31,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_11,1,D,BPl_10,D,1
32,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_12,3,C,TTPl_5,C,3
33,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_13,5,D,GPl_16,C,0
34,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_14,5,D,TTPl_13,C,0
35,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_15,1,D,BPl_11,D,1
36,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_16,1,D,RPl_8,D,1
37,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_17,5,D,GPl_9,C,0
38,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_18,5,D,RPl_9,C,0
39,ipd,ipd,Scenario1,0,1,2021-09-28T00:39,RPl_19,5,D,TTPl_10,C,0
40,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_0,5,D,GPl_18,C,0
41,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_1,1,D,TTPl_16,D,1
42,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_2,5,D,GPl_19,C,0
43,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_3,1,D,BPl_8,D,1
44,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_4,3,C,TTPl_12,C,3
45,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_5,1,D,RPl_19,D,1
46,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_6,0,C,TTPl_10,D,5
47,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_7,3,C,TTPl_1,C,3
48,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_8,0,C,BPl_19,D,5
49,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_9,5,D,GPl_8,C,0
50,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_10,1,D,BPl_1,D,1
51,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_11,5,D,GPl_15,C,0
52,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_12,1,D,TTPl_14,D,1
53,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_13,0,C,BPl_18,D,5
54,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_14,3,C,TTPl_9,C,3
55,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_15,1,D,RPl_16,D,1
56,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_16,1,D,RPl_15,D,1
57,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_17,0,C,BPl_9,D,5
58,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_18,5,D,GPl_12,C,0
59,ipd,ipd,Scenario1,0,2,2021-09-28T00:39,RPl_19,1,D,RPl_5,D,1
60,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_0,5,D,RPl_12,C,0
61,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_1,0,C,TTPl_18,D,5
62,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_2,0,C,BPl_6,D,5
63,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_3,3,C,GPl_10,C,3
64,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_4,5,D,GPl_3,C,0
65,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_5,1,D,TTPl_0,D,1
66,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_6,3,C,RPl_8,C,3
67,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_7,1,D,BPl_11,D,1
68,ipd,ipd,Scenario1,0,3,2021-09-28T00:39,RPl_8,3,C,RPl_6,C,3
