index_no,model,simulation,scenario,run,step,time,agent_name,my_payoff,my_play,other_name,other_play,other_payoff
0,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_0,0,C,BPl_0,D,5
1,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_1,0,C,BPl_15,D,5
2,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_2,3,C,TTPl_9,C,3
3,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_3,3,C,RPl_17,C,3
4,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_4,0,C,BPl_9,D,5
5,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_5,3,C,RPl_15,C,3
6,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_6,0,C,BPl_3,D,5
7,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_7,3,C,TTPl_14,C,3
8,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_8,3,C,TTPl_10,C,3
9,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_9,3,C,TTPl_2,C,3
10,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_10,3,C,TTPl_8,C,3
11,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_11,3,C,GPl_10,C,3
12,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_12,0,C,BPl_4,D,5
13,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_13,3,C,GPl_19,C,3
14,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_14,3,C,TTPl_7,C,3
15,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_15,0,C,BPl_17,D,5
16,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_16,0,C,RPl_12,D,5
17,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_17,0,C,BPl_7,D,5
18,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_18,0,C,RPl_0,D,5
19,ipd,ipd,Scenario1,0,0,2021-09-28T01:25,TTPl_19,3,C,RPl_6,C,3
20,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_0,3,C,TTPl_3,C,3
21,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_1,3,C,TTPl_6,C,3
22,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_2,3,C,GPl_17,C,3
23,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_3,3,C,TTPl_0,C,3
24,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_4,0,C,RPl_16,D,5
25,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_5,0,C,BPl_12,D,5
26,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_6,3,C,TTPl_1,C,3
27,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_7,3,C,RPl_4,C,3
28,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_8,3,C,TTPl_11,C,3
29,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_9,0,C,BPl_10,D,5
30,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_10,3,C,RPl_0,C,3
31,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_11,3,C,TTPl_8,C,3
32,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_12,3,C,GPl_15,C,3
33,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_13,0,C,BPl_11,D,5
34,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_14,0,C,RPl_5,D,5
35,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_15,0,C,BPl_1,D,5
36,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_16,3,C,RPl_14,C,3
37,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_17,3,C,GPl_7,C,3
38,ipd,ipd,Scenario1,0,1,2021-09-28T01:25,TTPl_18,0,C,BPl_0,D,5
